Last Updated Date,Task,Stage,Viðskiptavinur,Tegund verkefnis,Legal,Ábyrgð,Start,Finish
3/5/2024,Dælu- og olíbílaþjónusta,Undirbúningur gagna,Isavia ohf.,Verðfyrirspurn,Guðmundur,Hinrik,2024-02-19,2024-03-03
3/5/2024,Dælu- og olíbílaþjónusta,Undirbúningur gagna,Isavia ohf.,Verðfyrirspurn,Guðmundur,Hinrik,2024-02-26,2024-03-03
3/5/2024,Dælu- og olíbílaþjónusta,Legal,Isavia ohf.,Verðfyrirspurn,Guðmundur,Hinrik,2024-03-04,2024-03-10
3/5/2024,Dælu- og olíbílaþjónusta,Skilafrestur,Isavia ohf.,Verðfyrirspurn,Guðmundur,Hinrik,2024-03-11,2024-03-17
3/5/2024,Dælu- og olíbílaþjónusta,Frágangur/gerð samnings,Isavia ohf.,Verðfyrirspurn,Guðmundur,Hinrik,2024-03-18,2024-03-24
3/5/2024,Slökkvibifreiðar,Undirbúningur gagna,Isavia innanlands,Útboð,Guðmundur,Hinrik,2024-02-26,2024-03-10
3/5/2024,Slökkvibifreiðar,Undirbúningur gagna,Isavia innanlands,Útboð,Guðmundur,Hinrik,2024-03-04,2024-03-10
3/5/2024,Slökkvibifreiðar,Legal,Isavia innanlands,Útboð,Guðmundur,Hinrik,2024-03-11,2024-03-17
3/5/2024,Slökkvibifreiðar,Skilafrestur,Isavia innanlands,Útboð,Guðmundur,Hinrik,2024-03-18,2024-03-31
3/5/2024,Slökkvibifreiðar,Skilafrestur,Isavia innanlands,Útboð,Guðmundur,Hinrik,2024-03-25,2024-03-31
3/5/2024,Slökkvibifreiðar,Yfirferð tilboða,Isavia innanlands,Útboð,Guðmundur,Hinrik,2024-04-01,2024-04-07
3/5/2024,Slökkvibifreiðar,Frágangur/gerð samnings,Isavia innanlands,Útboð,Guðmundur,Hinrik,2024-04-08,2024-04-14
3/5/2024,Rafmagnsvörubifreið,Undirbúningur gagna,Isavia ohf.,Útboð,,Hinrik,2024-04-15,2024-04-21
3/5/2024,Rafmagnsvörubifreið,Skilafrestur,Isavia ohf.,Útboð,,Hinrik,2024-04-22,2024-05-05
3/5/2024,Rafmagnsvörubifreið,Skilafrestur,Isavia ohf.,Útboð,,Hinrik,2024-04-29,2024-05-05
3/5/2024,Rafmagnsvörubifreið,Frágangur/gerð samnings,Isavia ohf.,Útboð,,Hinrik,2024-05-06,2024-05-12
3/5/2024,Tæknilausn fyrir leigubílaþjónustu,Undirbúningur gagna,Isavia ohf.,Útboð,,Hinrik,2024-04-29,2024-05-19
3/5/2024,Tæknilausn fyrir leigubílaþjónustu,Undirbúningur gagna,Isavia ohf.,Útboð,,Hinrik,2024-05-06,2024-05-19
3/5/2024,Tæknilausn fyrir leigubílaþjónustu,Undirbúningur gagna,Isavia ohf.,Útboð,,Hinrik,2024-05-13,2024-05-19
3/5/2024,Tæknilausn fyrir leigubílaþjónustu,Legal,Isavia ohf.,Útboð,,Hinrik,2024-05-20,2024-05-26
3/5/2024,Tæknilausn fyrir leigubílaþjónustu,Skilafrestur,Isavia ohf.,Útboð,,Hinrik,2024-05-27,2024-06-09
3/5/2024,Tæknilausn fyrir leigubílaþjónustu,Skilafrestur,Isavia ohf.,Útboð,,Hinrik,2024-06-03,2024-06-09
3/5/2024,Tæknilausn fyrir leigubílaþjónustu,Yfirferð tilboða,Isavia ohf.,Útboð,,Hinrik,2024-06-10,2024-06-16
3/5/2024,Tæknilausn fyrir leigubílaþjónustu,Frágangur/gerð samnings,Isavia ohf.,Útboð,,Hinrik,2024-06-17,2024-06-30
3/5/2024,Tæknilausn fyrir leigubílaþjónustu,Frágangur/gerð samnings,Isavia ohf.,Útboð,,Hinrik,2024-06-24,2024-06-30
3/5/2024,Remote Tower ITN Stage,Skilafrestur,Isavia ANS,Útboð,Guðmundur,Bjarni,2024-01-15,2024-03-24
3/5/2024,Remote Tower ITN Stage,Skilafrestur,Isavia ANS,Útboð,Guðmundur,Bjarni,2024-01-22,2024-03-24
3/5/2024,Remote Tower ITN Stage,Skilafrestur,Isavia ANS,Útboð,Guðmundur,Bjarni,2024-01-29,2024-03-24
3/5/2024,Remote Tower ITN Stage,Skilafrestur,Isavia ANS,Útboð,Guðmundur,Bjarni,2024-02-05,2024-03-24
3/5/2024,Remote Tower ITN Stage,Skilafrestur,Isavia ANS,Útboð,Guðmundur,Bjarni,2024-02-12,2024-03-24
3/5/2024,Remote Tower ITN Stage,Skilafrestur,Isavia ANS,Útboð,Guðmundur,Bjarni,2024-02-19,2024-03-24
3/5/2024,Remote Tower ITN Stage,Skilafrestur,Isavia ANS,Útboð,Guðmundur,Bjarni,2024-02-26,2024-03-24
3/5/2024,Remote Tower ITN Stage,Skilafrestur,Isavia ANS,Útboð,Guðmundur,Bjarni,2024-03-04,2024-03-24
3/5/2024,Remote Tower ITN Stage,Skilafrestur,Isavia ANS,Útboð,Guðmundur,Bjarni,2024-03-11,2024-03-24
3/5/2024,Remote Tower ITN Stage,Skilafrestur,Isavia ANS,Útboð,Guðmundur,Bjarni,2024-03-18,2024-03-24
3/5/2024,Remote Tower ITN Stage,Yfirferð tilboða,Isavia ANS,Útboð,Guðmundur,Bjarni,2024-03-25,2024-05-12
3/5/2024,Remote Tower ITN Stage,Yfirferð tilboða,Isavia ANS,Útboð,Guðmundur,Bjarni,2024-04-01,2024-05-12
3/5/2024,Remote Tower ITN Stage,Yfirferð tilboða,Isavia ANS,Útboð,Guðmundur,Bjarni,2024-04-08,2024-05-12
3/5/2024,Remote Tower ITN Stage,Yfirferð tilboða,Isavia ANS,Útboð,Guðmundur,Bjarni,2024-04-15,2024-05-12
3/5/2024,Remote Tower ITN Stage,Yfirferð tilboða,Isavia ANS,Útboð,Guðmundur,Bjarni,2024-04-22,2024-05-12
3/5/2024,Remote Tower ITN Stage,Yfirferð tilboða,Isavia ANS,Útboð,Guðmundur,Bjarni,2024-04-29,2024-05-12
3/5/2024,Remote Tower ITN Stage,Yfirferð tilboða,Isavia ANS,Útboð,Guðmundur,Bjarni,2024-05-06,2024-05-12
3/5/2024,Remote Tower ITN Stage,Frágangur/gerð samnings,Isavia ANS,Útboð,Guðmundur,Bjarni,2024-05-13,2024-05-19
3/5/2024,Remote Tower ITN Stage,Legal,Isavia ANS,Útboð,Guðmundur,Bjarni,2024-05-20,2024-05-26
3/5/2024,Remote Tower ISFT Stage,Skilafrestur,Isavia ANS,Útboð,Guðmundur,Bjarni,2024-05-13,2024-06-02
3/5/2024,Remote Tower ISFT Stage,Skilafrestur,Isavia ANS,Útboð,Guðmundur,Bjarni,2024-05-20,2024-06-02
3/5/2024,Remote Tower ISFT Stage,Skilafrestur,Isavia ANS,Útboð,Guðmundur,Bjarni,2024-05-27,2024-06-02
3/5/2024,Remote Tower ISFT Stage,Yfirferð tilboða,Isavia ANS,Útboð,Guðmundur,Bjarni,2024-06-03,2024-06-16
3/5/2024,Remote Tower ISFT Stage,Yfirferð tilboða,Isavia ANS,Útboð,Guðmundur,Bjarni,2024-06-10,2024-06-16
3/5/2024,Remote Tower ISFT Stage,Frágangur/gerð samnings,Isavia ANS,Útboð,Guðmundur,Bjarni,2024-06-17,2024-06-30
3/5/2024,Remote Tower ISFT Stage,Frágangur/gerð samnings,Isavia ANS,Útboð,Guðmundur,Bjarni,2024-06-24,2024-06-30
